Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
La Raia 'Il Borgo' Gavi 2018,Italy,White,Crisp ,,DRY,"We love Gavi and this is a cracking example. Made using biodynamic principles the flavours are bright and pure with citrus, and stone fruit to the fore enhanced by floral and mineral notes. This zingy Gavi is best enjoyed with tomato based foods or with Mediterranean platters",14.99,,13.0,75.0,114.0,,no grapes could be parsed
"Châteauneuf-du-Pape 2014, Réserve des Diacres",France,Red,Big ,,FULL,"It is increasingly difficult to find CNDP of this quality at this price. Silky smooth, intense and complex the classic flavours of red fruits, spice, herbs are all presents with just a hint of chocolate.",21.99,,14.5,75.0,115.0,,no grapes could be parsed
Côtes-du-Rhône 2017/18 Léon Perdigal,France,Red,Smooth ,,MEDIUM,"This is a classic blend sourced from several sites in the southern Rhône. It has been named in honour of Léon Perdigal, the first cellarmaster at Ogier's now famous cellars, when they were founded in 1859 in Châteauneuf-du-Pape. The nose has intense aromas of red fruits and spice, with subtle pepper and garrigue notes. The spice-tinged red fruits continue on the palate, which is medium-bodied and has a pleasing length. Enjoy with all spiced Mediterranean dishes or barbecued meats.",9.99,"IWC 2018 - Commended Award, Decanter 2018 - Silver Award",14.0,75.0,125.0,,no grapes could be parsed
Desire Lush & Zin 2018,,Red,Big ,,FULL,"This is a warming and intense Puglian red. Made from Primitivo it is soft and velvety with fine rich flavours of plums, red cherries, spice, vanilla and coffee. Oozing black berry fruits alongside smatterings of prunes and figs. A velvety delight. Have with wild boar sausages, lamb ragu or with",12.99,,13.5,75.0,127.0,,no grapes could be parsed
"Les Sources De Livran, Château Livran",France,Red,Big ,,MEDIUM,"Château Livran has become a Majestic favourite overnight. Two of our previous parcels sold out exceedingly fast. In fact, the 2009 Livran sold out in just three hours! This is Livran's second wine but quality remains high. Made from younger vines it has a fresh, more approachable feel. Expect ripe red fruit, soft tannins and crisp acidity from this quintessential Médoc.",11.99,,12.5,75.0,128.0,,no grapes could be parsed
Primitivo 2017 Natale Verga,Italy,Red,Big ,,MEDIUM,"The southern part of Italy is home to Primitivo, a grape now more commonly known elsewhere as Zinfandel. This example is from vineyards in the provinces of Brindisi and Taranto, in the south-eastern part of Puglia, the 'heel' of Italy's 'boot'. An approachable, medium-bodied wine full of sunny red berry flavour and subtle hints of prune and violet on the nose. Smooth, drying tannins mingle with the rounded, juicy fruit. Drink with pasta cooked with your favourite tomato-based sauces.",7.99,,13.0,75.0,130.0,,no grapes could be parsed
Krasno Pinot Bianco,,White,Crisp ,,DRY,"The hallmark of Brda wines is an unmatched minerality, which simmers under bone-dry flavours of apple, grapefruit and lemon. Although it's your ideal late-summer sipper, it'll age with splendour for 2 years on your rack.",10.99,,13.0,75.0,131.0,,no grapes could be parsed
"Cuvée Pierre Brun 2016 Domaine des Tourelles, Lebanon",Lebanon,Red,Big ,,MEDIUM,"When it comes to Lebanese wines it's not only Château Musar that's worth collecting. Founded in 1868, Tourelles is Lebanon's oldest winery. It's now run by Faouzi Issa, who earned his stripes working in Côte Rôtie and at iconic Château Margaux.This experience is reaping rewards. A blend of Cabernet, Syrah, Cinsault and Carignan, this has fine aromatic morello cherry and spice aromas, a dark fruit core with layered earthy spice, and balanced tannins.",12.99,,14.5,75.0,132.0,,no grapes could be parsed
Fuente de la Vida Blanco,,White,Crisp ,,DRY,"Our buyers specifically sought Fuente de la Vida Blanco for Wine Concierge customers. It's a WIGIG (when it's gone, it's gone!) which means we only have a small number to go around and this crowd-winner boasts the elegance of floral notes that mingle with aromatic undertones through a mouthwatering marriage of peach, citrus and grapefruit.",9.99,,11.5,75.0,144.0,,no grapes could be parsed
Chronic Cellars Purple Paradise 2017 Paso Robles,USA,Red,Big ,,FULL,"Josh Beckett was born in Paso Robles and worked in wineries all through High School. After completing school he worked under American, French and Australian winemakers before returning to Paso Robles and founding Chronic Cellars with his brother Jake. Purple Paradise has a rich dark colour intense smoky, vanilla, cherry, chocolate and spice flavours. The tannins are soft and the acidity balanced in this delicious wine. Enjoy with richly flavoured meat dishes from burgers and steaks to beef and game stews.",17.99,Decanter 2017 - Bronze Award,14.5,75.0,150.0,,no grapes could be parsed
